id,firstName,lastName,programCode,year,gender
2019-1983,Chica,Chicken,BSBA (ECON),4,Female
2021-1013,Lapu-Lapu,Mactan,BSBA (ECON),4,Male
2024-1036,Ashley,Miller,BSBA (ECON),1,Female
2021-1057,Anthony,Ramirez,BSBA (ECON),4,Male
2024-1080,Danielle,Gomez,BSBA (ECON),1,Female
2024-1100,Allison,Peterson,BSBA (ECON),1,Female
2023-1003,Jose,Rizal,BSBA (BE),2,Male
2023-1027,Lorenza,Agoncillo,BSBA (BE),2,Female
2023-1047,David,Moore,BSBA (BE),2,Male
2022-1070,Chloe,Green,BSBA (BE),3,Female
2023-1091,Edward,Morris,BSBA (BE),2,Male
2022-1002,Maria,Clara,BSACC,3,Female
2023-1015,Teresa,Magbanua,BSACC,2,Female
2021-1025,Patrocinio,Gamboa,BSACC,4,Female
2021-1037,Joshua,Davis,BSACC,4,Male
2021-1049,James,Martin,BSACC,4,Male
2021-1061,Christian,Young,BSACC,4,Male
2024-1072,Alexis,Nelson,BSACC,1,Female
2023-1083,Richard,Turner,BSACC,2,Male
2022-1094,Brianna,Cook,BSACC,3,Female
2024-9999,Kate Mikaelur,Bololol,BSIS,2,Female
2025-2001,Liam,Smith,BSCA,1,Male
2024-2002,Olivia,Johnson,BSCS,2,Female
2023-2003,Noah,Williams,BSIT,3,Male
2022-2004,Emma,Brown,BSSTAT,4,Female
2021-2005,Oliver,Jones,BSBIO (MICROBIO),4,Male
2026-2006,Ava,Garcia,BSBIO (MARINE),1,Female
2020-2007,Elijah,Miller,BSHM,4,Male
2019-2008,Sophia,Davis,BSACC,4,Female
2018-2009,James,Rodriguez,BSBA (BE),4,Male
2017-2010,Isabella,Martinez,BSEDBIO,4,Female
2016-2011,William,Hernandez,BSEDCHEM,4,Male
2015-2012,Mia,Lopez,BSEDMATH,4,Female
2014-2013,Benjamin,Gonzalez,BSIS,4,Male
2013-2014,Charlotte,Wilson,BEEDENG,4,Female
2012-2015,Lucas,Anderson,BSCA,4,Male
2025-2016,Amelia,Thomas,BSCS,2,Female
2024-2017,Henry,Taylor,BSIT,3,Male
2023-2018,Harper,Moore,BSSTAT,4,Female
2022-2019,Theodore,Jackson,BSBIO (MICROBIO),1,Male
2021-2020,Evelyn,Martin,BSBIO (MARINE),2,Female
2026-2021,Jack,Lee,BSHM,1,Male
2020-2022,Abigail,Perez,BSACC,3,Female
2019-2023,Alexander,Thompson,BSBA (BE),4,Male
2018-2024,Emily,White,BSEDBIO,4,Female
2017-2025,Levi,Harris,BSEDCHEM,4,Male
2016-2026,Elizabeth,Sanchez,BSEDMATH,4,Female
2015-2027,Mateo,Clark,BSIS,4,Male
2014-2028,Mila,Ramirez,BEEDENG,4,Female
2013-2029,Daniel,Lewis,BSCA,4,Male
2012-2030,Ella,Robinson,BSCS,4,Female
2025-2031,Michael,Walker,BSIT,1,Male
2024-2032,Avery,Young,BSSTAT,2,Female
2023-2033,Mason,Allen,BSBIO (MICROBIO),3,Male
2022-2034,Sofia,King,BSBIO (MARINE),4,Female
2021-2035,Sebastian,Wright,BSHM,4,Male
2026-2036,Camila,Scott,BSACC,1,Female
2020-2037,Ethan,Torres,BSBA (BE),4,Male
2019-2038,Aria,Nguyen,BSEDBIO,4,Female
2018-2039,Logan,Hill,BSEDCHEM,4,Male
2017-2040,Scarlett,Flores,BSEDMATH,4,Female
2016-2041,Owen,Green,BSIS,4,Male
2015-2042,Victoria,Adams,BEEDENG,4,Female
2014-2043,Samuel,Nelson,BSCA,4,Male
2013-2044,Madison,Baker,BSCS,4,Female
2012-2045,Jacob,Hall,BSIT,4,Male
2025-2046,Luna,Rivera,BSSTAT,1,Female
2024-2047,Asher,Campbell,BSBIO (MICROBIO),2,Male
2023-2048,Grace,Mitchell,BSBIO (MARINE),3,Female
2022-2049,Aiden,Carter,BSHM,4,Male
2021-2050,Chloe,Roberts,BSACC,4,Female
2026-2051,John,Gomez,BSBA (BE),1,Male
2020-2052,Penelope,Phillips,BSEDBIO,4,Female
2019-2053,Joseph,Evans,BSEDCHEM,4,Male
2018-2054,Layla,Turner,BSEDMATH,4,Female
2017-2055,Wyatt,Diaz,BSIS,4,Male
2016-2056,Riley,Parker,BEEDENG,4,Female
2015-2057,David,Cruz,BSCA,4,Male
2014-2058,Zoey,Edwards,BSCS,4,Female
2013-2059,Leo,Collins,BSIT,4,Male
2012-2060,Nora,Reyes,BSSTAT,4,Female
2025-2061,Luke,Stewart,BSBIO (MICROBIO),2,Male
2024-2062,Lily,Morris,BSBIO (MARINE),3,Female
2023-2063,Julian,Morales,BSHM,4,Male
2022-2064,Eleanor,Murphy,BSACC,4,Female
2021-2065,Hudson,Cook,BSBA (BE),4,Male
2026-2066,Hannah,Rogers,BSEDBIO,1,Female
2020-2067,Grayson,Gutierrez,BSEDCHEM,4,Male
2019-2068,Lillian,Ortiz,BSEDMATH,4,Female
2018-2069,Matthew,Morgan,BSIS,4,Male
2017-2070,Addison,Cooper,BEEDENG,4,Female
2016-2071,Ezra,Peterson,BSCA,4,Male
2015-2072,Aubrey,Bailey,BSCS,4,Female
2014-2073,Gabriel,Reed,BSIT,4,Male
2013-2074,Ellie,Kelly,BSSTAT,4,Female
2012-2075,Carter,Howard,BSBIO (MICROBIO),4,Male
2025-2076,Stella,Ramos,BSBIO (MARINE),1,Female
2024-2077,Isaac,Kim,BSHM,2,Male
2023-2078,Natalie,Cox,BSACC,3,Female
2022-2079,Jayden,Ward,BSBA (BE),4,Male
2021-2080,Zoe,Richardson,BSEDBIO,4,Female
2026-2081,Luca,Watson,BSEDCHEM,1,Male
2020-2082,Leah,Brooks,BSEDMATH,4,Female
2019-2083,Lincoln,Chavez,BSIS,4,Male
2018-2084,Hazel,Wood,BEEDENG,4,Female
2017-2085,Dylan,James,BSCA,4,Male
2016-2086,Violet,Bennett,BSCS,4,Female
2015-2087,Nathan,Gray,BSIT,4,Male
2014-2088,Aurora,Mendoza,BSSTAT,4,Female
2013-2089,Caleb,Ruiz,BSBIO (MICROBIO),4,Male
2012-2090,Savannah,Hughes,BSBIO (MARINE),4,Female
2025-2091,Ryan,Price,BSHM,2,Male
2024-2092,Audrey,Alvarez,BSACC,3,Female
2023-2093,Asher,Castillo,BSBA (BE),4,Male
2022-2094,Brooklyn,Sanders,BSEDBIO,4,Female
2021-2095,Miles,Patel,BSEDCHEM,4,Male
2026-2096,Bella,Myers,BSEDMATH,1,Female
2020-2097,Thomas,Long,BSIS,4,Male
2019-2098,Claire,Ross,BEEDENG,4,Female
2018-2099,Leo,Foster,BSCA,4,Male
2017-2100,Skylar,Jimenez,BSCS,4,Female
2012-3001,James,Smith,BSCA,1,Male
2013-3002,Mary,Johnson,BSCS,2,Female
2014-3003,John,Williams,BSIT,3,Male
2015-3004,Patricia,Brown,BSSTAT,4,Female
2016-3005,Robert,Jones,BSBIO (MICROBIO),1,Male
2017-3006,Jennifer,Garcia,BSBIO (MARINE),2,Female
2018-3007,Michael,Miller,BSHM,3,Male
2019-3008,Linda,Davis,BSACC,4,Female
2020-3009,William,Rodriguez,BSBA (BE),1,Male
2021-3010,Elizabeth,Martinez,BSEDBIO,2,Female
2022-3011,David,Hernandez,BSEDCHEM,3,Male
2023-3012,Barbara,Lopez,BSEDMATH,4,Female
2024-3013,Richard,Gonzalez,BSIS,1,Male
2025-3014,Susan,Wilson,BEEDENG,2,Female
2026-3015,Joseph,Anderson,BSCA,3,Male
2012-3016,Jessica,Thomas,BSCS,4,Female
2013-3017,Thomas,Taylor,BSIT,1,Male
2014-3018,Sarah,Moore,BSSTAT,2,Female
2015-3019,Charles,Jackson,BSBIO (MICROBIO),3,Male
2016-3020,Karen,Martin,BSBIO (MARINE),4,Female
2017-3021,Christopher,Lee,BSHM,1,Male
2018-3022,Lisa,Perez,BSACC,2,Female
2019-3023,Daniel,Thompson,BSBA (BE),3,Male
2020-3024,Nancy,White,BSEDBIO,4,Female
2021-3025,Matthew,Harris,BSEDCHEM,1,Male
2022-3026,Betty,Sanchez,BSEDMATH,2,Female
2023-3027,Anthony,Clark,BSIS,3,Male
2024-3028,Margaret,Ramirez,BEEDENG,4,Female
2025-3029,Mark,Lewis,BSCA,1,Male
2026-3030,Sandra,Robinson,BSCS,2,Female
2012-3031,Donald,Walker,BSIT,3,Male
2013-3032,Ashley,Young,BSSTAT,4,Female
2014-3033,Steven,Allen,BSBIO (MICROBIO),1,Male
2015-3034,Kimberly,King,BSBIO (MARINE),2,Female
2016-3035,Paul,Wright,BSHM,3,Male
2017-3036,Emily,Scott,BSACC,4,Female
2018-3037,Andrew,Torres,BSBA (BE),1,Male
2019-3038,Donna,Nguyen,BSEDBIO,2,Female
2020-3039,Joshua,Hill,BSEDCHEM,3,Male
2021-3040,Michelle,Flores,BSEDMATH,4,Female
2022-3041,Kenneth,Green,BSIS,1,Male
2023-3042,Carol,Adams,BEEDENG,2,Female
2024-3043,Kevin,Nelson,BSCA,3,Male
2025-3044,Amanda,Baker,BSCS,4,Female
2026-3045,Brian,Hall,BSIT,1,Male
2012-3046,Melissa,Rivera,BSSTAT,2,Female
2013-3047,George,Campbell,BSBIO (MICROBIO),3,Male
2014-3048,Deborah,Mitchell,BSBIO (MARINE),4,Female
2015-3049,Timothy,Carter,BSHM,1,Male
2016-3050,Stephanie,Roberts,BSACC,2,Female
2017-3051,Ronald,Gomez,BSBA (BE),3,Male
2018-3052,Rebecca,Phillips,BSEDBIO,4,Female
2019-3053,Edward,Evans,BSEDCHEM,1,Male
2020-3054,Sharon,Turner,BSEDMATH,2,Female
2021-3055,Jason,Diaz,BSIS,3,Male
2022-3056,Laura,Parker,BEEDENG,4,Female
2023-3057,Jeffrey,Cruz,BSCA,1,Male
2024-3058,Cynthia,Edwards,BSCS,2,Female
2025-3059,Ryan,Collins,BSIT,3,Male
2026-3060,Kathleen,Reyes,BSSTAT,4,Female
2012-3061,Jacob,Stewart,BSBIO (MICROBIO),1,Male
2013-3062,Amy,Morris,BSBIO (MARINE),2,Female
2014-3063,Gary,Morales,BSHM,3,Male
2015-3064,Shirley,Murphy,BSACC,4,Female
2016-3065,Nicholas,Cook,BSBA (BE),1,Male
2017-3066,Angela,Rogers,BSEDBIO,2,Female
2018-3067,Eric,Gutierrez,BSEDCHEM,3,Male
2019-3068,Helen,Ortiz,BSEDMATH,4,Female
2020-3069,Jonathan,Morgan,BSIS,1,Male
2021-3070,Anna,Cooper,BEEDENG,2,Female
2022-3071,Stephen,Peterson,BSCA,3,Male
2023-3072,Brenda,Bailey,BSCS,4,Female
2024-3073,Larry,Reed,BSIT,1,Male
2025-3074,Pamela,Kelly,BSSTAT,2,Female
2026-3075,Justin,Howard,BSBIO (MICROBIO),3,Male
2012-3076,Nicole,Ramos,BSBIO (MARINE),4,Female
2013-3077,Scott,Kim,BSHM,1,Male
2014-3078,Emma,Cox,BSACC,2,Female
2015-3079,Brandon,Ward,BSBA (BE),3,Male
2016-3080,Samantha,Richardson,BSEDBIO,4,Female
2017-3081,Benjamin,Watson,BSEDCHEM,1,Male
2018-3082,Katherine,Brooks,BSEDMATH,2,Female
2019-3083,Samuel,Chavez,BSIS,3,Male
2020-3084,Christine,Wood,BEEDENG,4,Female
2021-3085,Gregory,James,BSCA,1,Male
2022-3086,Debra,Bennett,BSCS,2,Female
2023-3087,Alexander,Gray,BSIT,3,Male
2024-3088,Rachel,Mendoza,BSSTAT,4,Female
2025-3089,Patrick,Ruiz,BSBIO (MICROBIO),1,Male
2026-3090,Catherine,Hughes,BSBIO (MARINE),2,Female
2012-3091,Frank,Price,BSHM,3,Male
2013-3092,Carolyn,Alvarez,BSACC,4,Female
2014-3093,Raymond,Castillo,BSBA (BE),1,Male
2015-3094,Janet,Sanders,BSEDBIO,2,Female
2016-3095,Jack,Patel,BSEDCHEM,3,Male
2017-3096,Ruth,Myers,BSEDMATH,4,Female
2018-3097,Dennis,Long,BSIS,1,Male
2019-3098,Maria,Ross,BEEDENG,2,Female
2020-3099,Jerry,Foster,BSCA,3,Male
2021-3100,Heather,Jimenez,BSCS,4,Female
2022-3101,Tyler,Powell,BSIT,1,Male
2023-3102,Diane,Jenkins,BSSTAT,2,Female
2024-3103,Aaron,Perry,BSBIO (MICROBIO),3,Male
2025-3104,Virginia,Russell,BSBIO (MARINE),4,Female
2026-3105,Jose,Sullivan,BSHM,1,Male
2012-3106,Julie,Bell,BSACC,2,Female
2013-3107,Adam,Coleman,BSBA (BE),3,Male
2014-3108,Joyce,Butler,BSEDBIO,4,Female
2015-3109,Nathan,Henderson,BSEDCHEM,1,Male
2016-3110,Victoria,Barnes,BSEDMATH,2,Female
2017-3111,Henry,Gonzales,BSIS,3,Male
2018-3112,Olivia,Fisher,BEEDENG,4,Female
2019-3113,Douglas,Vasquez,BSCA,1,Male
2020-3114,Kelly,Simmons,BSCS,2,Female
2021-3115,Zachary,Romero,BSIT,3,Male
2022-3116,Christina,Jordan,BSSTAT,4,Female
2023-3117,Peter,Patterson,BSBIO (MICROBIO),1,Male
2024-3118,Lauren,Alexander,BSBIO (MARINE),2,Female
2025-3119,Kyle,Hamilton,BSHM,3,Male
2026-3120,Joan,Graham,BSACC,4,Female
2012-3121,Walter,Reynolds,BSBA (BE),1,Male
2013-3122,Evelyn,Griffin,BSEDBIO,2,Female
2014-3123,Ethan,Wallace,BSEDCHEM,3,Male
2015-3124,Judith,Moreno,BSEDMATH,4,Female
2016-3125,Jeremy,West,BSIS,1,Male
2017-3126,Megan,Cole,BEEDENG,2,Female
2018-3127,Christian,Hayes,BSCA,3,Male
2019-3128,Cheryl,Bryant,BSCS,4,Female
2020-3129,Keith,Herrera,BSIT,1,Male
2021-3130,Andrea,Gibson,BSSTAT,2,Female
2022-3131,Roger,Ellis,BSBIO (MICROBIO),3,Male
2023-3132,Hannah,Tran,BSBIO (MARINE),4,Female
2024-3133,Terry,Medina,BSHM,1,Male
2025-3134,Martha,Aguilar,BSACC,2,Female
2026-3135,Sean,Stevens,BSBA (BE),3,Male
2012-3136,Jacqueline,Murray,BSEDBIO,4,Female
2013-3137,Gerald,Ford,BSEDCHEM,1,Male
2014-3138,Frances,Castro,BSEDMATH,2,Female
2015-3139,Carl,Weaver,BSIS,3,Male
2016-3140,Gloria,Fernandez,BEEDENG,4,Female
2017-3141,Dylan,Obrien,BSCA,1,Male
2018-3142,Ann,Harrison,BSCS,2,Female
2019-3143,Arthur,Tucker,BSIT,3,Male
2020-3144,Teresa,Robertson,BSSTAT,4,Female
2021-3145,Lawrence,Willis,BSBIO (MICROBIO),1,Male
2022-3146,Kathryn,Dixon,BSBIO (MARINE),2,Female
2023-3147,Austin,Bradley,BSHM,3,Male
2024-3148,Sara,Black,BSACC,4,Female
2025-3149,Jesse,Washington,BSBA (BE),1,Male
2026-3150,Janice,Stone,BSEDBIO,2,Female
2012-3151,Christian,Holmes,BSEDCHEM,3,Male
2013-3152,Jean,Boyd,BSEDMATH,4,Female
2014-3153,Bryan,Ruiz,BSIS,1,Male
2015-3154,Alice,Spencer,BEEDENG,2,Female
2016-3155,Joe,Arnold,BSCA,3,Male
2017-3156,Julia,Wagner,BSCS,4,Female
2018-3157,Noah,Fox,BSIT,1,Male
2019-3158,Grace,Hunter,BSSTAT,2,Female
2020-3159,Logan,Palmer,BSBIO (MICROBIO),3,Male
2021-3160,Judy,Dunn,BSBIO (MARINE),4,Female
2022-3161,Ralph,Crawford,BSHM,1,Male
2023-3162,Doris,Burns,BSACC,2,Female
2024-3163,Albert,Gordon,BSBA (BE),3,Male
2025-3164,Abigail,Shaw,BSEDBIO,4,Female
2026-3165,Wayne,Holmes,BSEDCHEM,1,Male
2012-3166,Marie,Rice,BSEDMATH,2,Female
2013-3167,Elijah,Robertson,BSIS,3,Male
2014-3168,Denise,Hunt,BEEDENG,4,Female
2015-3169,Bruce,Daniels,BSCA,1,Male
2016-3170,Beverly,Palmer,BSCS,2,Female
2017-3171,Willie,Arnold,BSIT,3,Male
2018-3172,Amber,Grant,BSSTAT,4,Female
2019-3173,Gabriel,Knight,BSBIO (MICROBIO),1,Male
2020-3174,Marilyn,Hudson,BSBIO (MARINE),2,Female
2021-3175,Alan,Riley,BSHM,3,Male
2022-3176,Danielle,Berry,BSACC,4,Female
2023-3177,Juan,Andrews,BSBA (BE),1,Male
2024-3178,Natalie,Payne,BSEDBIO,2,Female
2025-3179,Randy,Harper,BSEDCHEM,3,Male
2026-3180,Brittany,Hawkins,BSEDMATH,4,Female
2012-3181,Eugene,Elliott,BSIS,1,Male
2013-3182,Diana,Carr,BEEDENG,2,Female
2014-3183,Vincent,Carpenter,BSCA,3,Male
2015-3184,Jane,Snyder,BSCS,4,Female
2016-3185,Russell,Weaver,BSIT,1,Male
2017-3186,Madison,Webb,BSSTAT,2,Female
2018-3187,Louis,Lawson,BSBIO (MICROBIO),3,Male
2019-3188,Rose,Harvey,BSBIO (MARINE),4,Female
2020-3189,Philip,Rose,BSHM,1,Male
2021-3190,Irene,Stone,BSACC,2,Female
2022-3191,Bobby,Frazier,BSBA (BE),3,Male
2023-3192,Kayla,Burke,BSEDBIO,4,Female
2024-3193,Johnny,Franklin,BSEDCHEM,1,Male
2025-3194,Lori,Boyd,BSEDMATH,2,Female
2026-3195,Howard,Hicks,BSIS,3,Male
2012-3196,Sylvia,Meyer,BEEDENG,4,Female
2013-3197,Clarence,Rice,BSCA,1,Male
2014-3198,Tiffany,George,BSCS,2,Female
2015-3199,Matthew,Fox,BSIT,3,Male
2016-3200,Alexis,Mccoy,BSSTAT,4,Female
2017-3201,Martin,Dunn,BSBIO (MICROBIO),1,Male
2018-3202,Gail,Warren,BSBIO (MARINE),2,Female
2019-3203,Ernest,Carroll,BSHM,3,Male
2020-3204,Victoria,Ray,BSACC,4,Female
2021-3205,Craig,Howell,BSBA (BE),1,Male
2022-3206,Samantha,Bradley,BSEDBIO,2,Female
2023-3207,Shawn,Wheeler,BSEDCHEM,3,Male
2024-3208,Valerie,Hansen,BSEDMATH,4,Female
2025-3209,Todd,Willis,BSIS,1,Male
2026-3210,Olivia,Reid,BEEDENG,2,Female
2012-3211,Jimmy,Sims,BSCA,3,Male
2013-3212,Lauren,Schmidt,BSCS,4,Female
2014-3213,Victor,Wallace,BSIT,1,Male
2015-3214,Haley,Gordon,BSSTAT,2,Female
2016-3215,Marcus,Wagner,BSBIO (MICROBIO),3,Male
2017-3216,Joan,Ramos,BSBIO (MARINE),4,Female
2018-3217,Carl,Tucker,BSHM,1,Male
2019-3218,Megan,Mason,BSACC,2,Female
2020-3219,Arthur,Gibson,BSBA (BE),3,Male
2021-3220,Ruby,Harrison,BSEDBIO,4,Female
2022-3221,Albert,Rose,BSEDCHEM,1,Male
2023-3222,Carol,Dixon,BSEDMATH,2,Female
2024-3223,Bruce,Harvey,BSIS,3,Male
2025-3224,Shirley,Woods,BEEDENG,4,Female
2026-3225,Johnny,Washington,BSCA,1,Male
2012-3226,Judy,Mcdonald,BSCS,2,Female
2013-3227,Phillip,Cole,BSIT,3,Male
2014-3228,Virginia,Ellis,BSSTAT,4,Female
2015-3229,Eugene,Harper,BSBIO (MICROBIO),1,Male
2016-3230,Martha,Burke,BSBIO (MARINE),2,Female
2017-3231,Ralph,Palmer,BSHM,3,Male
2018-3232,Ann,Stone,BSACC,4,Female
2019-3233,Billy,Dunn,BSBA (BE),1,Male
2020-3234,Theresa,Frazier,BSEDBIO,2,Female
2021-3235,Louis,Riley,BSEDCHEM,3,Male
2022-3236,Gloria,Hudson,BSEDMATH,4,Female
2023-3237,Russell,Knight,BSIS,1,Male
2024-3238,Alice,Grant,BEEDENG,2,Female
2025-3239,Wayne,Arnold,BSCA,3,Male
2026-3240,Jean,Palmer,BSCS,4,Female
2012-3241,Randy,Daniels,BSIT,1,Male
2013-3242,Diana,Hunt,BSSTAT,2,Female
2014-3243,Vincent,Robertson,BSBIO (MICROBIO),3,Male
2015-3244,Denise,Rice,BSBIO (MARINE),4,Female
2016-3245,Joe,Holmes,BSHM,1,Male
2017-3246,Marilyn,Shaw,BSACC,2,Female
2018-3247,Alan,Gordon,BSBA (BE),3,Male
2019-3248,Rose,Burns,BSEDBIO,4,Female
2020-3250,Gabriel,Bradley,BSIS,2,Male
2021-3251,Lori,Dixon,BEEDENG,3,Female
2022-3252,Juan,Willis,BSCA,4,Male
2023-3253,Sylvia,Tucker,BSCS,1,Female
2024-3254,Philip,Harrison,BSIT,2,Male
2025-3255,Jane,Castro,BSSTAT,3,Female
2026-3256,Howard,Ford,BSBIO (MICROBIO),4,Male
2012-3257,Tiffany,Murray,BSBIO (MARINE),1,Female
2013-3258,Clarence,Stevens,BSHM,2,Male
2014-3259,Victoria,Aguilar,BSACC,3,Female
2015-3260,Matthew,Medina,BSBA (BE),4,Male
2016-3261,Alexis,Tran,BSEDBIO,1,Female
2017-3262,Martin,Ellis,BSEDCHEM,2,Male
2018-3263,Gail,Gibson,BSEDMATH,3,Female
2019-3264,Ernest,Herrera,BSIS,4,Male
2020-3265,Ruby,Bryant,BEEDENG,1,Female
2021-3266,Craig,Hayes,BSCA,2,Male
2022-3267,Samantha,Cole,BSCS,3,Female
2023-3268,Shawn,West,BSIT,4,Male
2024-3269,Valerie,Moreno,BSSTAT,1,Female
2025-3270,Todd,Wallace,BSBIO (MICROBIO),2,Male
2026-3271,Olivia,Griffin,BSBIO (MARINE),3,Female
2012-3272,Jimmy,Reynolds,BSHM,4,Male
2013-3273,Lauren,Graham,BSACC,1,Female
2014-3274,Victor,Hamilton,BSBA (BE),2,Male
2015-3275,Haley,Alexander,BSEDBIO,3,Female
2016-3276,Marcus,Patterson,BSEDCHEM,4,Male
2017-3277,Joan,Jordan,BSEDMATH,1,Female
2018-3278,Carl,Romero,BSIS,2,Male
2019-3279,Megan,Simmons,BEEDENG,3,Female
2020-3280,Arthur,Vasquez,BSCA,4,Male
2021-3281,Theresa,Fisher,BSCS,1,Female
2022-3282,Louis,Gonzales,BSIT,2,Male
2023-3283,Gloria,Barnes,BSSTAT,3,Female
2024-3284,Russell,Henderson,BSBIO (MICROBIO),4,Male
2025-3285,Alice,Butler,BSBIO (MARINE),1,Female
2026-3286,Wayne,Coleman,BSHM,2,Male
2012-3287,Jean,Bell,BSACC,3,Female
2013-3288,Randy,Sullivan,BSBA (BE),4,Male
2014-3289,Diana,Russell,BSEDBIO,1,Female
2015-3290,Vincent,Perry,BSEDCHEM,2,Male
2016-3291,Denise,Jenkins,BSEDMATH,3,Female
2017-3292,Joe,Powell,BSIS,4,Male
2018-3293,Marilyn,Jimenez,BEEDENG,1,Female
2019-3294,Alan,Foster,BSCA,2,Male
2020-3295,Rose,Ross,BSCS,3,Female
2021-3296,Gabriel,Long,BSIT,4,Male
2022-3297,Lori,Myers,BSSTAT,1,Female
2023-3298,Juan,Patel,BSBIO (MICROBIO),2,Male
2024-3299,Sylvia,Sanders,BSBIO (MARINE),3,Female
2025-3300,Philip,Castillo,BSHM,4,Male
